sample_id	md5sum	assembly
SAMD00009205	173561f39b9b92d38cc3168080273f4a	SAMD00009205.contigs.fa.gz
SAMD00012491	610bbabcb2008cfb20b14e75eafb52c6	SAMD00012491.contigs.fa.gz
SAMD00099400	65db231f86da250dc0f1c7bcca950bcc	SAMD00099400.contigs.fa.gz
SAMD00099440	c823ef9b139e3e044a320babbe4e9f56	SAMD00099440.contigs.fa.gz
SAMD00099441	95dbbe305bf3d43a41f4db0f97d8f07e	SAMD00099441.contigs.fa.gz
SAMD00099460	907a0fd6022da5ec4b1dadde59c91cf8	SAMD00099460.contigs.fa.gz
SAMD00099466	82e74b6aeaf952f52ab963dc11f0db82	SAMD00099466.contigs.fa.gz
SAMD00099496	f894e48014589dd8ea11e1609d1f7f6c	SAMD00099496.contigs.fa.gz
SAMD00099513	50b907db41d56798bed4553d62fdebdc	SAMD00099513.contigs.fa.gz
SAMD00099516	e0017f1f2178d07ff189b7fe88847536	SAMD00099516.contigs.fa.gz
SAMD00099596	85ace8f7e8962b12166847016852a0fd	SAMD00099596.contigs.fa.gz
SAMD00105881	e8459b73679b264b89daf0bbcfc0b5ac	SAMD00105881.contigs.fa.gz
SAMD00105883	8f7b6d95de2e861f37a68d2be987d396	SAMD00105883.contigs.fa.gz
SAMD00105889	1b94b59b8c084a0c39a1751298dbb31d	SAMD00105889.contigs.fa.gz
SAMD00105890	962a537bcde71f3dae0646a7bd1c3802	SAMD00105890.contigs.fa.gz
SAMD00105892	c78216ac90cd723ed471bd80e650e907	SAMD00105892.contigs.fa.gz
SAMD00105897	b51aa971e50733630c866fb2dd0c7e89	SAMD00105897.contigs.fa.gz
SAMD00105898	1ea3d86f7ab3146d9e86ddec5e220aa1	SAMD00105898.contigs.fa.gz
SAMD00105899	999c937839865504c5eca74f642840ba	SAMD00105899.contigs.fa.gz
SAMD00105900	c3b7a2ecfb4888a3c16f4cd61295a327	SAMD00105900.contigs.fa.gz
SAMD00105903	fc0630e1fa52ce14bf69f0580df14623	SAMD00105903.contigs.fa.gz
