sample_id	species	abundance	adjust_abundance	GC_percentage	N50	contigs_bigger_500	largest_contig	total_contigs	total_length	low_coverage_contigs	expected_genome_min	expected_genome_max	within_genome_expected	difference	mlst-alleles	mlst	mlst-species	CE_alleles	PCR_genes	phylotype	quadraplex	antigenic_profile	predicted_serotype	subspecies	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	high_quality
SAMD00009205	Neisseria subflava	67.277	67.277	49.13	66056	65	249753	84	2219283	contig00070	1809000.0	2715000.0	TRUE		abcZ(246),adk(161),aroE(287),fumC(284),gdh(303),pdhC(268),pgm(284)	3578	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	2	655	0	0	0	0	99.7	0.0	0.0	True
SAMD00012491	Neisseria sp. 10022	15.499	15.499	53.29	205536	27	244704	37	2341660						abcZ(937),adk(723),aroE(-),fumC(-),gdh(1014),pdhC(961),pgm(1026)	-	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	f__Neisseriaceae (UID3890)	69	657	443	1	653	1	2	0	0	99.92	0.79	71.43	True
SAMD00099400	Neisseria gonorrhoeae	99.405	99.405	52.39	80601	80	228544	132	2146161		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00099440	Neisseria gonorrhoeae	99.421	99.421	52.4	77330	82	213326	111	2152070		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7356	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00099441	Neisseria gonorrhoeae	99.381	99.381	52.42	65530	84	228536	125	2148886		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7356	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00099460	Neisseria gonorrhoeae	99.347	99.347	52.45	68254	76	207820	115	2140688		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(78),gdh(148),pdhC(153),pgm(65)	7360	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00099466	Neisseria gonorrhoeae	99.397	99.397	52.45	65530	85	204867	122	2140616		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
SAMD00099496	Neisseria gonorrhoeae	99.373	99.373	52.44	68254	78	207890	109	2145888		1715000.0	2574000.0	TRUE		abcZ(109),adk(39),aroE(170),fumC(78),gdh(148),pdhC(153),pgm(65)	7360	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00099513	Neisseria gonorrhoeae	99.425	99.425	52.69	75097	73	207562	104	2089166		1715000.0	2574000.0	TRUE		abcZ(126),adk(39),aroE(67),fumC(158),gdh(148),pdhC(153),pgm(925)	13842	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	952	1	0	0	0	99.82	0.21	0.0	True
SAMD00099516	Neisseria gonorrhoeae	99.059	99.059	52.4	69365	82	204889	117	2141419		1715000.0	2574000.0	TRUE		abcZ(59),adk(39),aroE(67),fumC(78),gdh(148),pdhC(153),pgm(65)	7363	neisseria			Non Escherichia	-,-,-,-	-:-:-	- -:-:-	-	g__Neisseria (UID3907)	44	956	479	3	951	2	0	0	0	99.82	0.42	0.0	True
